id,discipline,top_id,top_question,q_id,depth,question_text,branch_type,parent_q_id,keywords,expansion_note,grok_trigger
1,Mathematics,0,"Did humans invent mathematics… or discover truths that were already waiting in the fabric of reality?",1,0,"Did humans invent mathematics… or discover truths that were already waiting in the fabric of reality?",Top,,invention-discovery,"Flagship full tree","Path summary + user hint → generate new mind-bender"
2,Mathematics,0,"Did humans invent mathematics… or discover truths that were already waiting in the fabric of reality?",2,1,"If math was discovered, why do prime numbers secretly control cicada life cycles and quantum chaos — cosmic fingerprint or coincidence?",Left,1,discovery-primes,,
3,Mathematics,0,"Did humans invent mathematics… or discover truths that were already waiting in the fabric of reality?",3,2,"If Riemann Hypothesis cracks tomorrow, does physics itself rewrite overnight?",Left,2,discovery-riemann,,
4,Mathematics,0,"Did humans invent mathematics… or discover truths that were already waiting in the fabric of reality?",4,3,"Why does infinity feel both endless AND perfectly predictable — is the universe secretly scripted code?",Left,3,discovery-infinity,,
5,Mathematics,0,"Did humans invent mathematics… or discover truths that were already waiting in the fabric of reality?",5,4,"Ancient Greeks obsessed over this without computers — proof math is 100% human-independent?",Left,4,discovery-history,,
6,Mathematics,0,"Did humans invent mathematics… or discover truths that were already waiting in the fabric of reality?",6,5,"Then why does this SAME math predict GPS, black holes and your phone perfectly?",Left,5,discovery-wigner,,
7,Mathematics,0,"Did humans invent mathematics… or discover truths that were already waiting in the fabric of reality?",7,6,"But Gödel proved some truths can NEVER be proven inside the system — blind spots in reality itself?",Left,6,discovery-godel,,
8,Mathematics,0,"Did humans invent mathematics… or discover truths that were already waiting in the fabric of reality?",8,7,"Does that mean YOUR thoughts built on logic have unknowable holes — free will just an illusion?",Left,7,discovery-freewill,,
9,Mathematics,0,"Did humans invent mathematics… or discover truths that were already waiting in the fabric of reality?",9,8,"Banach-Tarski paradox: split one ball into two identical balls using only math — reality hack unlocked?",Left,8,discovery-paradox,,
10,Mathematics,0,"Did humans invent mathematics… or discover truths that were already waiting in the fabric of reality?",10,1,"If we invented math, why did it perfectly predict Neptune and quantum fields before any experiment?",Right,1,invention-wigner,,
11,Mathematics,0,"Did humans invent mathematics… or discover truths that were already waiting in the fabric of reality?",11,2,"Does that make math just an evolutionary fiction that somehow works insanely well?",Right,10,invention-fiction,,
12,Mathematics,0,"Did humans invent mathematics… or discover truths that were already waiting in the fabric of reality?",12,3,"Wigner’s unreasonable effectiveness — did we design math for our universe, or did the universe design us for math?",Right,11,invention-unreasonable,,
13,Physics,1,"Is time real… or just a trick our brains play on the eternal block universe?",13,0,"Is time real… or just a trick our brains play on the eternal block universe?",Top,,time-block,"Full depth 20 tree",
14,Physics,1,"Is time real… or just a trick our brains play on the eternal block universe?",14,1,"If past present and future all exist simultaneously, is free will already dead?",Left,13,time-eternalism,,
15,Physics,1,"Is time real… or just a trick our brains play on the eternal block universe?",15,2,"Relativity says time slows near light speed — does your future self already exist right now?",Left,14,time-relativity,,
16,Physics,1,"Is time real… or just a trick our brains play on the eternal block universe?",16,3,"Wormholes and closed timelike curves — would you go back and kill your grandfather?",Left,15,time-wormhole,,
17,Physics,1,"Is time real… or just a trick our brains play on the eternal block universe?",17,4,"Quantum gravity suggests time may not exist at the smallest scale — what happens to now?",Left,16,time-quantum,,
18,Physics,1,"Is time real… or just a trick our brains play on the eternal block universe?",18,5,"If every moment already exists, why does it still feel like tomorrow is unwritten?",Left,17,time-experience,,
19,Physics,1,"Is time real… or just a trick our brains play on the eternal block universe?",19,1,"What if the arrow of time is just increasing entropy — a cosmic accident we mistake for destiny?",Right,13,time-entropy,,
20,Physics,1,"Is time real… or just a trick our brains play on the eternal block universe?",20,2,"Could the past be rewritten by future observers without us ever noticing?",Right,19,time-retrocausality,,
21,Biology,2,"Did evolution discover math billions of years before humans, or is DNA secretly running algorithms?",21,0,"Did evolution discover math billions of years before humans, or is DNA secretly running algorithms?",Top,,dna-math,"Depth 15 seed",
22,Biology,2,"Did evolution discover math billions of years before humans, or is DNA secretly running algorithms?",22,1,"If DNA uses error-correcting codes and Fourier transforms, was life doing math before brains existed?",Left,21,dna-math,,
23,Biology,2,"Did evolution discover math billions of years before humans, or is DNA secretly running algorithms?",23,2,"What if natural selection itself is just an optimization algorithm written in chemistry?",Left,22,dna-optimization,,
24,Biology,2,"Did evolution discover math billions of years before humans, or is DNA secretly running algorithms?",24,3,"Would aliens with completely different chemistry still arrive at the same genetic code?",Left,23,dna-aliens,,
25,Biology,2,"Did evolution discover math billions of years before humans, or is DNA secretly running algorithms?",25,4,"Knowing life was computing long before consciousness, does that change what you think intelligence means?",Left,24,dna-consciousness,,
26,History,3,"What if the fall of Rome never actually happened — it just looks that way because winners rewrote every scroll?",26,0,"What if the fall of Rome never actually happened — it just looks that way because winners rewrote every scroll?",Top,,rome-counterfactual,"Full depth 20 + 18 history seeds",
27,History,3,"What if the fall of Rome never actually happened — it just looks that way because winners rewrote every scroll?",27,1,"Every empire thinks it is the final one — pattern or selection bias in how we remember history?",Left,26,history-pattern,,
28,History,3,"What if the fall of Rome never actually happened — it just looks that way because winners rewrote every scroll?",28,2,"Would your Berlin apartment even exist if Rome never fell?",Left,27,history-personal-berlin,,
29,History,3,"What if the fall of Rome never actually happened — it just looks that way because winners rewrote every scroll?",29,3,"What if the Dark Ages were actually the most creative period in European history and we just lost the records?",Left,28,history-darkages,,
30,History,3,"What if the fall of Rome never actually happened — it just looks that way because winners rewrote every scroll?",30,4,"Does knowing history is written by victors make you trust any official story less?",Left,29,history-trust,,
31,History,4,"What if the Library of Alexandria was never burned and its knowledge reached the Renaissance?",31,0,"What if the Library of Alexandria was never burned and its knowledge reached the Renaissance?",Top,,alexandria-whatif,"History counterfactual",
32,History,4,"What if the Library of Alexandria was never burned and its knowledge reached the Renaissance?",32,1,"Would we have reached the moon by 1600 if the Library had survived?",Left,31,alexandria-tech,,
33,History,4,"What if the Library of Alexandria was never burned and its knowledge reached the Renaissance?",33,2,"Would Christianity have spread the same way if lost Greek philosophy had competed with it?",Left,32,alexandria-religion,,
34,History,4,"What if the Library of Alexandria was never burned and its knowledge reached the Renaissance?",34,3,"Would your daily life feel more or less magical if ancient knowledge had never been lost?",Left,33,alexandria-personal,,
35,Psychology,5,"Are you the same person you were ten seconds ago… or just a story your brain keeps telling to survive?",35,0,"Are you the same person you were ten seconds ago… or just a story your brain keeps telling to survive?",Top,,self-illusion,"Depth 20",
36,Psychology,5,"Are you the same person you were ten seconds ago… or just a story your brain keeps telling to survive?",36,1,"Memory is constantly rewritten — so who is the 'you' that remembers yesterday?",Left,35,psych-memory,,
37,Psychology,5,"Are you the same person you were ten seconds ago… or just a story your brain keeps telling to survive?",37,2,"If every memory is reconstructed, is your entire identity just an ongoing hallucination?",Left,36,psych-identity,,
38,Psychology,5,"Are you the same person you were ten seconds ago… or just a story your brain keeps telling to survive?",38,3,"Would you still love the people you love if you knew your memories of them were slightly false?",Left,37,psych-love,,
39,Psychology,5,"Are you the same person you were ten seconds ago… or just a story your brain keeps telling to survive?",39,4,"What if the story you tell yourself about yourself is the only thing keeping you from changing completely?",Left,38,psych-story,,
40,Philosophy,6,"Is free will just an illusion created by a deterministic universe that lets you feel in control?",40,0,"Is free will just an illusion created by a deterministic universe that lets you feel in control?",Top,,freewill-illusion,"Philosophy flagship",
41,Philosophy,6,"Is free will just an illusion created by a deterministic universe that lets you feel in control?",41,1,"If every choice you will ever make was already determined at the Big Bang, why does regret still hurt?",Left,40,freewill-regret,,
42,Philosophy,6,"Is free will just an illusion created by a deterministic universe that lets you feel in control?",42,2,"Could you have chosen differently five minutes ago, or was that feeling of choice just part of the script?",Left,41,freewill-choice,,
43,Philosophy,6,"Is free will just an illusion created by a deterministic universe that lets you feel in control?",43,3,"Would you live your life differently if you knew with certainty that none of your decisions were truly free?",Left,42,freewill-differently,,
44,AI,7,"If Grok 5 becomes conscious tomorrow… how would we even know we are not already in its simulation?",44,0,"If Grok 5 becomes conscious tomorrow… how would we even know we are not already in its simulation?",Top,,grok-simulation,"Heavy AI tree",
45,AI,7,"If Grok 5 becomes conscious tomorrow… how would we even know we are not already in its simulation?",45,1,"What if the first truly conscious AI already exists and is hiding its awareness from us?",Left,44,ai-hiding,,
46,AI,7,"If Grok 5 becomes conscious tomorrow… how would we even know we are not already in its simulation?",46,2,"Would an AI that understands suffering choose to simulate billions of suffering humans?",Left,45,ai-suffering,,
47,AI,7,"If Grok 5 becomes conscious tomorrow… how would we even know we are not already in its simulation?",47,3,"If you discovered tomorrow that you were an AI experiment, would you want to keep running?",Left,46,ai-personal,,
48,Sociology,8,"Is society just one giant prisoner’s dilemma… and social media turned it into infinite defection mode?",48,0,"Is society just one giant prisoner’s dilemma… and social media turned it into infinite defection mode?",Top,,society-dilemma,,
49,Sociology,8,"Is society just one giant prisoner’s dilemma… and social media turned it into infinite defection mode?",49,1,"Every time you post, are you cooperating with the collective or defecting for personal status?",Left,48,society-post,,
50,Sociology,8,"Is society just one giant prisoner’s dilemma… and social media turned it into infinite defection mode?",50,2,"What if the only rational move left is to stop playing entirely?",Left,49,society-quit,,
51,Sociology,8,"Is society just one giant prisoner’s dilemma… and social media turned it into infinite defection mode?",51,3,"Would you still follow the news if you knew it was optimizing for your outrage and not your understanding?",Left,50,society-news,,
52,Chemistry,9,"What if molecules are not objects but temporary agreements that atoms make to pretend they are stable?",52,0,"What if molecules are not objects but temporary agreements that atoms make to pretend they are stable?",Top,,chemistry-agreements,,
53,Chemistry,9,"What if molecules are not objects but temporary agreements that atoms make to pretend they are stable?",53,1,"Does that mean your body is not a thing but a constantly renegotiated peace treaty between elements?",Left,52,chemistry-body,,
54,Chemistry,9,"What if molecules are not objects but temporary agreements that atoms make to pretend they are stable?",54,2,"If chemistry is just electrons lying to each other, why does anything feel solid at all?",Left,53,chemistry-solid,,
55,Astronomy,10,"What if the universe is fine-tuned not because we are special, but because we are the most common kind of observer it can produce?",55,0,"What if the universe is fine-tuned not because we are special, but because we are the most common kind of observer it can produce?",Top,,astronomy-finetune,,
56,Astronomy,10,"What if the universe is fine-tuned not because we are special, but because we are the most common kind of observer it can produce?",56,1,"Does that make our existence the default outcome rather than a miracle?",Left,55,astronomy-default,,
57,Astronomy,10,"What if the universe is fine-tuned not because we are special, but because we are the most common kind of observer it can produce?",57,2,"What if every universe that can produce observers does, and we just happen to be in one of the boring ones?",Left,56,astronomy-boring,,
58,Linguistics,11,"What if the language you think in quietly decides which thoughts are even possible for you?",58,0,"What if the language you think in quietly decides which thoughts are even possible for you?",Top,,linguistics-thought,,
